,SPY,AAPL,IBM,GOOG,XOM,Cash
2011-01-10,0.0,1500.0,0.0,0.0,0.0,485947.62500000006
2011-01-11,0.0,1500.0,0.0,0.0,0.0,485947.62500000006
2011-01-12,0.0,1500.0,0.0,0.0,0.0,485947.62500000006
2011-01-13,0.0,0.0,4000.0,0.0,0.0,418555.2250000001
2011-01-14,0.0,0.0,4000.0,0.0,0.0,418555.2250000001
2011-01-18,0.0,0.0,4000.0,0.0,0.0,418555.2250000001
2011-01-19,0.0,0.0,4000.0,0.0,0.0,418555.2250000001
2011-01-20,0.0,0.0,4000.0,0.0,0.0,418555.2250000001
2011-01-21,0.0,0.0,4000.0,0.0,0.0,418555.2250000001
2011-01-24,0.0,0.0,4000.0,0.0,0.0,418555.2250000001
2011-01-25,0.0,0.0,4000.0,0.0,0.0,418555.2250000001
2011-01-26,0.0,0.0,4000.0,1000.0,0.0,-201037.22499999986
2011-01-27,0.0,0.0,4000.0,1000.0,0.0,-201037.22499999986
2011-01-28,0.0,0.0,4000.0,1000.0,0.0,-201037.22499999986
2011-01-31,0.0,0.0,4000.0,1000.0,0.0,-201037.22499999986
2011-02-01,0.0,0.0,4000.0,1000.0,0.0,-201037.22499999986
2011-02-02,0.0,0.0,4000.0,1000.0,-4000.0,117193.62500000012
2011-02-03,0.0,0.0,4000.0,1000.0,-4000.0,117193.62500000012
2011-02-04,0.0,0.0,4000.0,1000.0,-4000.0,117193.62500000012
2011-02-07,0.0,0.0,4000.0,1000.0,-4000.0,117193.62500000012
2011-02-08,0.0,0.0,4000.0,1000.0,-4000.0,117193.62500000012
2011-02-09,0.0,0.0,4000.0,1000.0,-4000.0,117193.62500000012
2011-02-10,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-11,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-14,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-15,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-16,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-17,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-18,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-22,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-23,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-24,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-25,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-02-28,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-03-01,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-03-02,0.0,0.0,4000.0,1000.0,0.0,-205139.92499999987
2011-03-03,0.0,0.0,1800.0,0.0,0.0,750322.7549999999
2011-03-04,0.0,0.0,1800.0,0.0,0.0,750322.7549999999
2011-03-07,0.0,0.0,1800.0,0.0,0.0,750322.7549999999
2011-03-08,0.0,0.0,1800.0,0.0,0.0,750322.7549999999
2011-03-09,0.0,0.0,1800.0,0.0,0.0,750322.7549999999
2011-03-10,0.0,0.0,1800.0,0.0,0.0,750322.7549999999
2011-03-11,0.0,0.0,1800.0,0.0,0.0,750322.7549999999
2011-03-14,0.0,0.0,1800.0,0.0,0.0,750322.7549999999
