,SPY,AAPL,IBM,GOOG,XOM,Cash
2011-01-10,123.19,340.99,143.41,614.21,72.02,1.0
2011-01-11,123.63,340.18,143.06,616.01,72.56,1.0
2011-01-12,124.74,342.95,144.82,616.87,73.41,1.0
2011-01-13,124.54,344.2,144.55,616.69,73.54,1.0
2011-01-14,125.44,346.99,145.7,624.18,74.62,1.0
2011-01-18,125.65,339.19,146.33,639.63,75.45,1.0
2011-01-19,124.42,337.39,151.22,631.75,75.0,1.0
2011-01-20,124.26,331.26,151.33,626.77,74.53,1.0
2011-01-21,124.54,325.32,151.04,611.83,75.71,1.0
2011-01-24,125.25,336.01,155.05,611.08,75.34,1.0
2011-01-25,125.31,339.94,156.81,619.91,75.43,1.0
2011-01-26,125.8,342.38,156.42,616.5,76.37,1.0
2011-01-27,126.11,341.74,156.45,616.79,76.58,1.0
2011-01-28,123.91,334.66,154.64,600.99,75.72,1.0
2011-01-31,124.84,337.87,157.35,600.36,77.34,1.0
2011-02-01,126.84,343.55,158.87,611.04,80.44,1.0
2011-02-02,126.6,342.85,158.62,612.0,79.96,1.0
2011-02-03,126.88,341.97,158.84,610.15,79.99,1.0
2011-02-04,127.24,345.02,159.3,610.98,79.84,1.0
2011-02-07,128.03,350.38,160.09,614.29,80.46,1.0
2011-02-08,128.61,353.68,161.93,618.38,79.97,1.0
2011-02-09,128.32,356.63,160.56,616.5,79.55,1.0
2011-02-10,128.37,353.02,160.02,616.44,80.18,1.0
2011-02-11,129.14,355.32,159.78,624.5,79.81,1.0
2011-02-14,129.45,357.64,159.17,628.15,81.83,1.0
2011-02-15,129.04,358.36,158.8,624.15,79.96,1.0
2011-02-16,129.85,361.58,159.34,624.22,80.65,1.0
2011-02-17,130.24,356.77,160.16,625.26,80.83,1.0
2011-02-18,130.51,349.06,160.75,630.08,81.43,1.0
2011-02-22,127.9,337.16,157.93,610.21,82.34,1.0
2011-02-23,127.11,341.16,156.2,611.32,83.91,1.0
2011-02-24,127.02,341.41,156.78,608.82,82.85,1.0
2011-02-25,128.38,346.67,158.25,610.04,82.24,1.0
2011-02-28,129.18,351.7,157.86,613.4,82.42,1.0
2011-03-01,127.02,347.82,156.0,600.76,81.72,1.0
2011-03-02,127.29,350.61,156.18,600.79,81.99,1.0
2011-03-03,129.49,358.02,159.42,609.56,82.7,1.0
2011-03-04,128.52,358.46,157.81,600.62,81.99,1.0
2011-03-07,127.51,353.84,155.96,591.66,81.64,1.0
2011-03-08,128.62,354.24,158.25,592.31,81.53,1.0
2011-03-09,128.44,350.96,161.74,591.77,81.32,1.0
2011-03-10,126.06,345.19,158.0,580.3,78.43,1.0
2011-03-11,126.93,350.49,158.4,576.71,79.14,1.0
2011-03-14,126.17,352.05,157.38,569.99,79.39,1.0
2011-03-15,124.72,343.95,155.07,569.56,78.44,1.0
2011-03-16,122.41,328.6,149.2,557.1,76.43,1.0
2011-03-17,124.03,333.21,150.35,561.36,78.21,1.0
