,JPM,Date,Symbol,Order,Shares
2010-02-08,1000.0,2010-02-08,JPM,BUY,1000.0
2010-02-09,-1000.0,2010-02-09,JPM,SELL,1000.0
2010-02-19,1000.0,2010-02-19,JPM,BUY,1000.0
2010-02-22,-1000.0,2010-02-22,JPM,SELL,1000.0
2010-02-23,1000.0,2010-02-23,JPM,BUY,1000.0
2010-02-24,-1000.0,2010-02-24,JPM,SELL,1000.0
2010-03-30,1000.0,2010-03-30,JPM,BUY,1000.0
2010-04-01,-1000.0,2010-04-01,JPM,SELL,1000.0
2010-04-07,1000.0,2010-04-07,JPM,BUY,1000.0
2010-04-08,-1000.0,2010-04-08,JPM,SELL,1000.0
2010-04-12,1000.0,2010-04-12,JPM,BUY,1000.0
2010-04-13,-1000.0,2010-04-13,JPM,SELL,1000.0
2010-04-26,-1000.0,2010-04-26,JPM,SELL,1000.0
2010-04-27,1000.0,2010-04-27,JPM,BUY,1000.0
2010-04-28,1000.0,2010-04-28,JPM,BUY,1000.0
2010-04-29,-1000.0,2010-04-29,JPM,SELL,1000.0
2010-05-04,1000.0,2010-05-04,JPM,BUY,1000.0
2010-05-06,-1000.0,2010-05-06,JPM,SELL,1000.0
2010-05-11,1000.0,2010-05-11,JPM,BUY,1000.0
2010-05-12,-1000.0,2010-05-12,JPM,SELL,1000.0
2010-05-13,1000.0,2010-05-13,JPM,BUY,1000.0
2010-05-14,-2000.0,2010-05-14,JPM,SELL,2000.0
2010-05-17,2000.0,2010-05-17,JPM,BUY,2000.0
2010-05-18,-1000.0,2010-05-18,JPM,SELL,1000.0
2010-05-19,1000.0,2010-05-19,JPM,BUY,1000.0
2010-05-20,-1000.0,2010-05-20,JPM,SELL,1000.0
2010-05-24,1000.0,2010-05-24,JPM,BUY,1000.0
2010-05-25,-1000.0,2010-05-25,JPM,SELL,1000.0
2010-05-27,1000.0,2010-05-27,JPM,BUY,1000.0
2010-05-28,-1000.0,2010-05-28,JPM,SELL,1000.0
2010-06-01,1000.0,2010-06-01,JPM,BUY,1000.0
2010-06-02,-1000.0,2010-06-02,JPM,SELL,1000.0
2010-06-04,-1000.0,2010-06-04,JPM,SELL,1000.0
2010-06-07,1000.0,2010-06-07,JPM,BUY,1000.0
2010-06-08,1000.0,2010-06-08,JPM,BUY,1000.0
2010-06-10,-1000.0,2010-06-10,JPM,SELL,1000.0
2010-06-14,1000.0,2010-06-14,JPM,BUY,1000.0
2010-06-15,-1000.0,2010-06-15,JPM,SELL,1000.0
2010-06-21,1000.0,2010-06-21,JPM,BUY,1000.0
2010-06-22,-1000.0,2010-06-22,JPM,SELL,1000.0
2010-06-29,1000.0,2010-06-29,JPM,BUY,1000.0
2010-06-30,-2000.0,2010-06-30,JPM,SELL,2000.0
2010-07-01,1000.0,2010-07-01,JPM,BUY,1000.0
2010-07-16,-1000.0,2010-07-16,JPM,SELL,1000.0
2010-07-20,1000.0,2010-07-20,JPM,BUY,1000.0
2010-07-22,1000.0,2010-07-22,JPM,BUY,1000.0
2010-07-23,-2000.0,2010-07-23,JPM,SELL,2000.0
2010-07-26,1000.0,2010-07-26,JPM,BUY,1000.0
2010-07-28,1000.0,2010-07-28,JPM,BUY,1000.0
2010-08-02,-1000.0,2010-08-02,JPM,SELL,1000.0
2010-08-10,1000.0,2010-08-10,JPM,BUY,1000.0
2010-08-11,-1000.0,2010-08-11,JPM,SELL,1000.0
2010-08-16,1000.0,2010-08-16,JPM,BUY,1000.0
2010-08-17,-1000.0,2010-08-17,JPM,SELL,1000.0
2010-08-24,1000.0,2010-08-24,JPM,BUY,1000.0
2010-08-27,-1000.0,2010-08-27,JPM,SELL,1000.0
2010-09-16,-1000.0,2010-09-16,JPM,SELL,1000.0
2010-09-20,1000.0,2010-09-20,JPM,BUY,1000.0
2010-09-21,1000.0,2010-09-21,JPM,BUY,1000.0
2010-09-22,-1000.0,2010-09-22,JPM,SELL,1000.0
2010-09-23,1000.0,2010-09-23,JPM,BUY,1000.0
2010-09-24,-1000.0,2010-09-24,JPM,SELL,1000.0
2010-09-29,-1000.0,2010-09-29,JPM,SELL,1000.0
2010-10-01,1000.0,2010-10-01,JPM,BUY,1000.0
2010-10-06,1000.0,2010-10-06,JPM,BUY,1000.0
2010-10-07,-1000.0,2010-10-07,JPM,SELL,1000.0
2010-10-13,1000.0,2010-10-13,JPM,BUY,1000.0
2010-10-14,-1000.0,2010-10-14,JPM,SELL,1000.0
2010-10-15,-1000.0,2010-10-15,JPM,SELL,1000.0
2010-10-18,1000.0,2010-10-18,JPM,BUY,1000.0
2010-10-21,1000.0,2010-10-21,JPM,BUY,1000.0
2010-10-27,-1000.0,2010-10-27,JPM,SELL,1000.0
2010-11-09,-1000.0,2010-11-09,JPM,SELL,1000.0
