,state
2010-01-04,0
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-11,0
2010-01-12,0
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-19,0
2010-01-20,0
2010-01-21,0
2010-01-22,0
2010-01-25,0
2010-01-26,0
2010-01-27,11
2010-01-28,22
2010-01-29,22
2010-02-01,133
2010-02-02,344
2010-02-03,344
2010-02-04,122
2010-02-05,122
2010-02-08,111
2010-02-09,333
2010-02-10,444
2010-02-11,444
2010-02-12,444
2010-02-16,777
2010-02-17,777
2010-02-18,888
2010-02-19,666
2010-02-22,888
2010-02-23,666
2010-02-24,888
2010-02-25,777
2010-02-26,999
2010-03-01,888
2010-03-02,888
2010-03-03,777
2010-03-04,888
2010-03-05,999
2010-03-08,888
2010-03-09,777
2010-03-10,888
2010-03-11,888
2010-03-12,888
2010-03-15,777
2010-03-16,777
2010-03-17,899
2010-03-18,788
2010-03-19,677
2010-03-22,677
2010-03-23,899
2010-03-24,899
2010-03-25,899
2010-03-26,888
2010-03-29,788
2010-03-30,666
2010-03-31,666
2010-04-01,788
2010-04-05,788
2010-04-06,899
2010-04-07,666
2010-04-08,788
2010-04-09,788
2010-04-12,799
2010-04-13,677
2010-04-14,999
2010-04-15,999
2010-04-16,444
2010-04-19,433
2010-04-20,444
2010-04-21,333
2010-04-22,211
2010-04-23,322
2010-04-26,100
2010-04-27,0
2010-04-28,111
2010-04-29,233
2010-04-30,11
2010-05-03,233
2010-05-04,111
2010-05-05,222
2010-05-06,0
2010-05-07,0
2010-05-10,233
2010-05-11,222
2010-05-12,333
2010-05-13,111
2010-05-14,100
2010-05-17,111
2010-05-18,0
2010-05-19,111
2010-05-20,0
2010-05-21,344
2010-05-24,111
2010-05-25,233
2010-05-26,233
2010-05-27,655
2010-05-28,444
2010-06-01,222
2010-06-02,555
2010-06-03,444
2010-06-04,100
2010-06-07,0
2010-06-08,222
2010-06-09,111
2010-06-10,444
2010-06-11,333
2010-06-14,222
2010-06-15,444
2010-06-16,555
2010-06-17,555
2010-06-18,788
2010-06-21,666
2010-06-22,555
2010-06-23,777
2010-06-24,444
2010-06-25,899
2010-06-28,555
2010-06-29,200
2010-06-30,100
2010-07-01,0
2010-07-02,0
2010-07-06,122
2010-07-07,555
2010-07-08,555
2010-07-09,877
2010-07-12,877
2010-07-13,999
2010-07-14,988
2010-07-15,988
2010-07-16,766
2010-07-19,766
2010-07-20,866
2010-07-21,444
2010-07-22,655
2010-07-23,766
2010-07-26,777
2010-07-27,888
2010-07-28,666
2010-07-29,666
2010-07-30,666
2010-08-02,899
2010-08-03,788
2010-08-04,888
2010-08-05,777
2010-08-06,555
2010-08-09,333
2010-08-10,200
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-16,111
2010-08-17,11
2010-08-18,133
2010-08-19,22
2010-08-20,122
2010-08-23,122
2010-08-24,111
2010-08-25,111
2010-08-26,111
2010-08-27,333
2010-08-30,211
2010-08-31,333
2010-09-01,777
2010-09-02,888
2010-09-03,999
2010-09-07,877
2010-09-08,999
2010-09-09,999
2010-09-10,988
2010-09-13,999
2010-09-14,988
2010-09-15,988
2010-09-16,977
2010-09-17,766
2010-09-20,877
2010-09-21,666
2010-09-22,444
2010-09-23,222
2010-09-24,433
2010-09-27,211
2010-09-28,211
2010-09-29,100
2010-09-30,100
2010-10-01,233
2010-10-04,333
2010-10-05,555
2010-10-06,666
2010-10-07,555
2010-10-08,555
2010-10-11,677
2010-10-12,899
2010-10-13,666
2010-10-14,333
2010-10-15,100
2010-10-18,322
2010-10-19,211
2010-10-20,322
2010-10-21,222
2010-10-22,222
2010-10-25,111
2010-10-26,222
2010-10-27,333
2010-10-28,333
2010-10-29,344
2010-11-01,433
2010-11-02,311
2010-11-03,566
2010-11-04,999
2010-11-05,999
2010-11-08,999
2010-11-09,977
2010-11-10,988
2010-11-11,877
2010-11-12,766
2010-11-15,766
2010-11-16,655
2010-11-17,444
2010-11-18,555
2010-11-19,444
2010-11-22,211
2010-11-23,0
2010-11-24,111
2010-11-26,100
2010-11-29,222
2010-11-30,111
2010-12-01,333
2010-12-02,666
2010-12-03,777
2010-12-06,888
2010-12-07,666
2010-12-08,888
2010-12-09,999
2010-12-10,999
2010-12-13,988
2010-12-14,877
2010-12-15,666
2010-12-16,555
2010-12-17,444
2010-12-20,444
2010-12-21,677
2010-12-22,899
2010-12-23,888
2010-12-27,999
2010-12-28,888
2010-12-29,777
2010-12-30,766
2010-12-31,777
2011-01-03,999
2011-01-04,999
2011-01-05,999
2011-01-06,988
2011-01-07,766
2011-01-10,655
2011-01-11,666
2011-01-12,888
2011-01-13,777
2011-01-14,888
2011-01-18,777
2011-01-19,444
2011-01-20,677
2011-01-21,799
2011-01-24,677
2011-01-25,566
2011-01-26,666
2011-01-27,677
2011-01-28,444
2011-01-31,566
2011-02-01,799
2011-02-02,677
2011-02-03,677
2011-02-04,433
2011-02-07,677
2011-02-08,688
2011-02-09,444
2011-02-10,566
2011-02-11,799
2011-02-14,799
2011-02-15,799
2011-02-16,999
2011-02-17,899
2011-02-18,899
2011-02-22,444
2011-02-23,444
2011-02-24,444
2011-02-25,555
2011-02-28,555
2011-03-01,322
2011-03-02,211
2011-03-03,433
2011-03-04,322
2011-03-07,222
2011-03-08,555
2011-03-09,555
2011-03-10,333
2011-03-11,444
